OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
3737, ,Buffer Bike Lane,CLYBOURN AV,EDISON BL,OXNARD ST,219.4743106,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3738, ,Buffer Bike Lane,CLYBOURN AV,VICTORY BL,ERWIN ST,669.4594634,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3846, ,Buffer Bike Lane,CLYBOURN AVE,BURBANK BLVD,CUMPSTON ST,625.2582319,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3864,Backbone,Buffer Bike Lane,SPRING ST,1ST ST,2ND ST,569.1853531,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
4318,Backbone,Buffer Bike Lane,GLENOAKS BL,MONTAGUE ST,BRANFORD ST,1471.342958,2019/11/26 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
4555, ,Buffer Bike Lane,VAN NUYS BL,LEHIGH AV,BRADLEY AV,410.1305609,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
4783, ,Buffer Bike Lane,MONTEREY RD,PULLMAN ST,VIA MARISOL,1310.511716,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
5008, ,Buffer Bike Lane,FOOTHILL BL,SUNLAND BL/NEWHOME AV,FENWICK ST/TURNBOW DR,1095.340394,2017/05/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
5414, ,Buffer Bike Lane,WOODMAN AV,MONTAGUE ST/PARTHENIA ST,CHASE ST,819.2654774,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
5415, ,Buffer Bike Lane,WOODMAN AV,COMMUNITY ST,ROSCOE BL,429.5858689,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
5468, ,Buffer Bike Lane,CLYBOURN AV,CALIFA ST,WHITNALL HY E RDWY,874.9979097,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
5492, ,Buffer Bike Lane,CLYBOURN AVE,OXNARD ST,TIARA ST,302.2982391,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
5549, ,Buffer Bike Lane,COMPTON AV,102ND ST,103RD ST,368.625486,2013/07/01 00:00:00+00,South,Buffer Bike Lane,2020/04/08 00:00:00+00
5737,Backbone,Buffer Bike Lane,SPRING ST,ARCADIA ST,ALISO ST,185.4669829,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
5738,Backbone,Buffer Bike Lane,SPRING ST,2ND ST,3RD ST,661.3182513,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
5756, ,Buffer Bike Lane,FOOTHILL BL,FENWICK ST,HILLROSE ST/FRANLIE DR,731.1844628,2017/05/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
5757, ,Buffer Bike Lane,FOOTHILL BL,FENWICK ST/TURNBOW DR,FENWICK ST,136.4417391,2017/05/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6121, ,Buffer Bike Lane,CLYBOURN AVE,CUMPSTON ST,MYRNA ST,300.6697302,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
6123, ,Buffer Bike Lane,CLYBOURN AVE,TIARA ST,CALIFA ST,262.017657,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
6138, ,Buffer Bike Lane,CLYBOURN AVE,MYRNA ST,CHANDLER BLVD,317.0134134,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
6342, ,Buffer Bike Lane,Mission Rd,Broadway,Commodore St,0,2017/07/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6343, ,Buffer Bike Lane,Mission Rd,Broadway,Commodore St,0,2017/07/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6365, ,Buffer Bike Lane,GRIFFITH PARK BLVD,HOLBORO DR,AMESBURY RD,0,2019/12/19 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6366, ,Buffer Bike Lane,GRIFFITH PARK BLVD,LAMBETH ST,HUXLEY ST,0,2019/12/19 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6367, ,Buffer Bike Lane,GRIFFITH PARK BLVD,HUXLEY ST,HOLBORO DR,0,2019/12/19 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6368, ,Buffer Bike Lane,GRIFFITH PARK BLVD,AMESBURY RD,LOS FELIZ BL,0,2019/12/19 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
6369, ,Buffer Bike Lane,GRIFFITH PARK BLVD,CADMAN DR/SHANNON RD,LAMBETH ST,0,2019/12/19 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
